%Borehole 1501 (Conventional Method)
%Measured in 2015 by C.Pickler, J.C.Mareschal, A.Chacon-Oecklers, H. Beltrami, F.Suarez, N. Blin, and M.T.Corte

%Location 26.75389S    69.895W

   2.5980762e+01   2.3656554e+01
   3.4641016e+01   2.3386426e+01
   4.3301270e+01   2.3343078e+01
   5.1961524e+01   2.3347015e+01
   6.0621778e+01   2.3370652e+01
   6.9282032e+01   2.3433825e+01
   7.7942286e+01   2.3532944e+01
   8.6602540e+01   2.3668557e+01
   9.5262794e+01   2.3793030e+01
   1.0392305e+02   2.3922355e+01
   1.1258330e+02   2.4064792e+01
   1.2124356e+02   2.4228861e+01
   1.2990381e+02   2.4402634e+01
   1.3856406e+02   2.4569588e+01
   1.4722432e+02   2.4670454e+01
   1.5588457e+02   2.4759145e+01
   1.6454483e+02   2.4869518e+01
   1.7320508e+02   2.4954851e+01
   1.8186533e+02   2.5113718e+01
   1.9052559e+02   2.5213137e+01
   1.9918584e+02   2.5317428e+01
   2.0784610e+02   2.5404771e+01
   2.1650635e+02   2.5492513e+01
   2.2516660e+02   2.5624881e+01
   2.3382686e+02   2.5753711e+01
   2.4248711e+02   2.5856506e+01
   2.5114737e+02   2.5955350e+01
   2.5980762e+02   2.6077361e+01
   2.6846788e+02   2.6259560e+01
   2.7712813e+02   2.6378928e+01
   2.8578838e+02   2.6471259e+01
   2.9444864e+02   2.6573342e+01
   3.0310889e+02   2.6722807e+01
   3.1176915e+02   2.6859278e+01
   3.2042940e+02   2.6968211e+01
   3.2908965e+02   2.7077769e+01
   3.3774991e+02   2.7207188e+01
   3.4641016e+02   2.7332648e+01
   3.5507042e+02   2.7449193e+01
   3.6373067e+02   2.7571354e+01
   3.7239092e+02   2.7669648e+01
   3.8105118e+02   2.7808114e+01
   3.8971143e+02   2.7937591e+01
   3.9837169e+02   2.8027745e+01
