%Borehole 1504 (Conventional Method)
%Measured in 2015 by C.Pickler, J.C.Mareschal, A.Chacon-Oecklers, H. Beltrami, F.Su�rez, N. Blin, and M.T.Corte

%Location 26.75556S    69.895W

   2.5715000e+01   2.3922400e+01
   4.2858365e+01   2.3564768e+01
   6.8573384e+01   2.3493236e+01
   7.7145057e+01   2.3497203e+01
   8.5716730e+01   2.3588671e+01
   9.4288403e+01   2.3776924e+01
   1.0286008e+02   2.3918301e+01
   1.1143175e+02   2.4052543e+01
   1.2000342e+02   2.4158963e+01
   1.2857510e+02   2.4270095e+01
   1.3714677e+02   2.4373564e+01
   1.4571844e+02   2.4477586e+01
   1.5429011e+02   2.4577974e+01
   1.6286179e+02   2.4674669e+01
   1.7143346e+02   2.4759145e+01
   1.9714848e+02   2.5308715e+01
   2.0572015e+02   2.5400394e+01
   2.1429183e+02   2.5501309e+01
   2.2286350e+02   2.5598334e+01
   2.3143517e+02   2.5709189e+01
   2.4000684e+02   2.5816216e+01
   2.4857852e+02   2.5928342e+01
   2.5715019e+02   2.6041129e+01
   2.6572186e+02   2.6154584e+01
   2.7429354e+02   2.6259560e+01
   2.8286521e+02   2.6365117e+01
   2.9143688e+02   2.6462006e+01
   3.0000856e+02   2.6540802e+01
   3.0858023e+02   2.6633921e+01
