%Borehole DDH2457 (DTS)
%Measured in 2015 by C.Pickler, J.C.Mareschal, A.Chacon-Oecklers, H. Beltrami, F.Su�rez, N. Blin, and M.T.Corte

%Location 26.753S    69.894W

   3.8960000e+01   2.2780000e+01
   3.9190000e+01   2.2800000e+01
   3.9420000e+01   2.2800000e+01
   3.9640000e+01   2.2790000e+01
   3.9870000e+01   2.2780000e+01
   4.0100000e+01   2.2770000e+01
   4.0330000e+01   2.2760000e+01
   4.0560000e+01   2.2780000e+01
   4.0790000e+01   2.2830000e+01
   4.1020000e+01   2.2810000e+01
   4.1250000e+01   2.2790000e+01
   4.1480000e+01   2.2780000e+01
   4.1710000e+01   2.2800000e+01
   4.1940000e+01   2.2800000e+01
   4.2170000e+01   2.2800000e+01
   4.2390000e+01   2.2820000e+01
   4.2620000e+01   2.2800000e+01
   4.2850000e+01   2.2780000e+01
   4.3080000e+01   2.2810000e+01
   4.3310000e+01   2.2820000e+01
   4.3540000e+01   2.2830000e+01
   4.3770000e+01   2.2840000e+01
   4.4000000e+01   2.2850000e+01
   4.4230000e+01   2.2840000e+01
   4.4460000e+01   2.2830000e+01
   4.4690000e+01   2.2830000e+01
   4.4920000e+01   2.2860000e+01
   4.5140000e+01   2.2880000e+01
   4.5370000e+01   2.2880000e+01
   4.5600000e+01   2.2870000e+01
   4.5830000e+01   2.2870000e+01
   4.6060000e+01   2.2850000e+01
   4.6290000e+01   2.2830000e+01
   4.6520000e+01   2.2800000e+01
   4.6750000e+01   2.2800000e+01
   4.6980000e+01   2.2820000e+01
   4.7210000e+01   2.2840000e+01
   4.7440000e+01   2.2830000e+01
   4.7670000e+01   2.2840000e+01
   4.7890000e+01   2.2830000e+01
   4.8120000e+01   2.2850000e+01
   4.8350000e+01   2.2860000e+01
   4.8580000e+01   2.2850000e+01
   4.8810000e+01   2.2850000e+01
   4.9040000e+01   2.2850000e+01
   4.9270000e+01   2.2840000e+01
   4.9500000e+01   2.2850000e+01
   4.9730000e+01   2.2840000e+01
   4.9960000e+01   2.2870000e+01
   5.0190000e+01   2.2890000e+01
   5.0420000e+01   2.2900000e+01
   5.0640000e+01   2.2890000e+01
   5.0870000e+01   2.2870000e+01
   5.1100000e+01   2.2870000e+01
   5.1330000e+01   2.2900000e+01
   5.1560000e+01   2.2880000e+01
   5.1790000e+01   2.2860000e+01
   5.2020000e+01   2.2870000e+01
   5.2250000e+01   2.2890000e+01
   5.2480000e+01   2.2870000e+01
   5.2710000e+01   2.2880000e+01
   5.2940000e+01   2.2890000e+01
   5.3170000e+01   2.2890000e+01
   5.3390000e+01   2.2900000e+01
   5.3620000e+01   2.2920000e+01
   5.3850000e+01   2.2930000e+01
   5.4080000e+01   2.2910000e+01
   5.4310000e+01   2.2900000e+01
   5.4540000e+01   2.2920000e+01
   5.4770000e+01   2.2920000e+01
   5.5000000e+01   2.2930000e+01
   5.5230000e+01   2.2940000e+01
   5.5460000e+01   2.2950000e+01
   5.5690000e+01   2.2940000e+01
   5.5920000e+01   2.2940000e+01
   5.6140000e+01   2.2910000e+01
   5.6370000e+01   2.2910000e+01
   5.6600000e+01   2.2950000e+01
   5.6830000e+01   2.2940000e+01
   5.7060000e+01   2.2950000e+01
   5.7290000e+01   2.2940000e+01
   5.7520000e+01   2.2940000e+01
   5.7750000e+01   2.2950000e+01
   5.7980000e+01   2.2920000e+01
   5.8210000e+01   2.2940000e+01
   5.8440000e+01   2.2970000e+01
   5.8670000e+01   2.2990000e+01
   5.8890000e+01   2.3000000e+01
   5.9120000e+01   2.3010000e+01
   5.9350000e+01   2.3030000e+01
   5.9580000e+01   2.3010000e+01
   5.9810000e+01   2.3000000e+01
   6.0040000e+01   2.3010000e+01
   6.0270000e+01   2.3010000e+01
   6.0500000e+01   2.3000000e+01
   6.0730000e+01   2.3000000e+01
   6.0960000e+01   2.2990000e+01
   6.1190000e+01   2.2980000e+01
   6.1420000e+01   2.3000000e+01
   6.1640000e+01   2.3030000e+01
   6.1870000e+01   2.3030000e+01
   6.2100000e+01   2.3060000e+01
   6.2330000e+01   2.3050000e+01
   6.2560000e+01   2.3020000e+01
   6.2790000e+01   2.3020000e+01
   6.3020000e+01   2.3030000e+01
   6.3250000e+01   2.3050000e+01
   6.3480000e+01   2.3040000e+01
   6.3710000e+01   2.3030000e+01
   6.3940000e+01   2.3060000e+01
   6.4170000e+01   2.3060000e+01
   6.4390000e+01   2.3060000e+01
   6.4620000e+01   2.3090000e+01
   6.4850000e+01   2.3110000e+01
   6.5080000e+01   2.3080000e+01
   6.5310000e+01   2.3080000e+01
   6.5540000e+01   2.3080000e+01
   6.5770000e+01   2.3070000e+01
   6.6000000e+01   2.3080000e+01
   6.6230000e+01   2.3060000e+01
   6.6460000e+01   2.3050000e+01
   6.6690000e+01   2.3070000e+01
   6.6920000e+01   2.3080000e+01
   7.9060000e+01   2.3280000e+01
   7.9290000e+01   2.3280000e+01
   7.9520000e+01   2.3280000e+01
   7.9750000e+01   2.3260000e+01
   7.9980000e+01   2.3240000e+01
   8.0210000e+01   2.3250000e+01
   8.0440000e+01   2.3270000e+01
   8.0660000e+01   2.3290000e+01
   8.0890000e+01   2.3300000e+01
   8.1120000e+01   2.3310000e+01
   8.1350000e+01   2.3300000e+01
   8.1580000e+01   2.3300000e+01
   8.1810000e+01   2.3280000e+01
   8.2040000e+01   2.3290000e+01
   8.2270000e+01   2.3300000e+01
   8.2500000e+01   2.3320000e+01
   8.2730000e+01   2.3330000e+01
   8.2960000e+01   2.3320000e+01
   8.3190000e+01   2.3320000e+01
   8.3410000e+01   2.3300000e+01
   8.3640000e+01   2.3310000e+01
   8.3870000e+01   2.3310000e+01
   8.4100000e+01   2.3300000e+01
   8.4330000e+01   2.3320000e+01
   8.4560000e+01   2.3310000e+01
   8.4790000e+01   2.3320000e+01
   8.5020000e+01   2.3320000e+01
   8.5250000e+01   2.3330000e+01
   8.5480000e+01   2.3330000e+01
   8.5710000e+01   2.3350000e+01
   8.5940000e+01   2.3330000e+01
   8.6160000e+01   2.3340000e+01
   8.6390000e+01   2.3370000e+01
   8.6620000e+01   2.3370000e+01
   8.6850000e+01   2.3340000e+01
   8.7080000e+01   2.3340000e+01
   8.7310000e+01   2.3340000e+01
   8.7540000e+01   2.3370000e+01
   8.7770000e+01   2.3370000e+01
   8.8000000e+01   2.3360000e+01
   8.8230000e+01   2.3400000e+01
   8.8460000e+01   2.3420000e+01
   8.8690000e+01   2.3390000e+01
   8.8910000e+01   2.3390000e+01
   8.9140000e+01   2.3390000e+01
   8.9370000e+01   2.3370000e+01
   8.9600000e+01   2.3400000e+01
   8.9830000e+01   2.3440000e+01
   9.0060000e+01   2.3420000e+01
   9.0290000e+01   2.3400000e+01
   9.0520000e+01   2.3400000e+01
   9.0750000e+01   2.3420000e+01
   9.0980000e+01   2.3420000e+01
   9.1210000e+01   2.3450000e+01
   9.1440000e+01   2.3470000e+01
   9.1660000e+01   2.3430000e+01
   9.1890000e+01   2.3460000e+01
   9.2120000e+01   2.3470000e+01
   9.2350000e+01   2.3460000e+01
   9.2580000e+01   2.3480000e+01
   9.2810000e+01   2.3450000e+01
   9.3040000e+01   2.3460000e+01
   9.3270000e+01   2.3460000e+01
   9.3500000e+01   2.3480000e+01
   9.3730000e+01   2.3480000e+01
   9.3960000e+01   2.3490000e+01
   9.4190000e+01   2.3520000e+01
   9.4410000e+01   2.3490000e+01
   9.4640000e+01   2.3480000e+01
   9.4870000e+01   2.3500000e+01
   9.5100000e+01   2.3490000e+01
   9.5330000e+01   2.3510000e+01
   9.5560000e+01   2.3530000e+01
   9.5790000e+01   2.3540000e+01
   9.6020000e+01   2.3540000e+01
   9.6250000e+01   2.3520000e+01
   9.6480000e+01   2.3500000e+01
   9.6710000e+01   2.3490000e+01
   9.6940000e+01   2.3530000e+01
   9.7160000e+01   2.3530000e+01
   9.7390000e+01   2.3510000e+01
   9.7620000e+01   2.3490000e+01
   9.7850000e+01   2.3540000e+01
   9.8080000e+01   2.3530000e+01
   9.8310000e+01   2.3530000e+01
   9.8540000e+01   2.3540000e+01
   9.8770000e+01   2.3540000e+01
   9.9000000e+01   2.3550000e+01
   9.9230000e+01   2.3560000e+01
   9.9460000e+01   2.3560000e+01
   9.9690000e+01   2.3580000e+01
   9.9910000e+01   2.3570000e+01
   1.0014000e+02   2.3570000e+01
   1.0037000e+02   2.3570000e+01
   1.0060000e+02   2.3550000e+01
   1.0083000e+02   2.3550000e+01
   1.0106000e+02   2.3560000e+01
   1.0129000e+02   2.3570000e+01
   1.0152000e+02   2.3590000e+01
   1.0175000e+02   2.3580000e+01
   1.0198000e+02   2.3580000e+01
   1.0221000e+02   2.3580000e+01
   1.0244000e+02   2.3610000e+01
   1.0266000e+02   2.3590000e+01
   1.0289000e+02   2.3620000e+01
   1.0312000e+02   2.3650000e+01
   1.0335000e+02   2.3650000e+01
   1.0358000e+02   2.3660000e+01
   1.0381000e+02   2.3640000e+01
   1.0404000e+02   2.3620000e+01
   1.0427000e+02   2.3650000e+01
   1.0450000e+02   2.3660000e+01
   1.0473000e+02   2.3650000e+01
   1.0496000e+02   2.3650000e+01
   1.0518000e+02   2.3640000e+01
   1.0541000e+02   2.3650000e+01
   1.0564000e+02   2.3640000e+01
   1.0587000e+02   2.3660000e+01
   1.0610000e+02   2.3670000e+01
   1.0633000e+02   2.3690000e+01
   1.0656000e+02   2.3710000e+01
   1.0679000e+02   2.3720000e+01
   1.0702000e+02   2.3710000e+01
   1.0725000e+02   2.3710000e+01
   1.0748000e+02   2.3720000e+01
   1.0771000e+02   2.3690000e+01
   1.0793000e+02   2.3720000e+01
   1.0816000e+02   2.3730000e+01
   1.0839000e+02   2.3740000e+01
   1.0862000e+02   2.3740000e+01
   1.0885000e+02   2.3720000e+01
   1.0908000e+02   2.3740000e+01
   1.0931000e+02   2.3760000e+01
   1.0954000e+02   2.3740000e+01
   1.0977000e+02   2.3730000e+01
   1.1000000e+02   2.3730000e+01
   1.1023000e+02   2.3740000e+01
   1.1046000e+02   2.3770000e+01
   1.1068000e+02   2.3750000e+01
   1.1091000e+02   2.3730000e+01
   1.1114000e+02   2.3760000e+01
   1.1137000e+02   2.3770000e+01
   1.1160000e+02   2.3780000e+01
   1.1183000e+02   2.3760000e+01
   1.1206000e+02   2.3770000e+01
   1.1229000e+02   2.3780000e+01
   1.1252000e+02   2.3790000e+01
   1.1275000e+02   2.3810000e+01
   1.1298000e+02   2.3800000e+01
   1.1321000e+02   2.3820000e+01
   1.1343000e+02   2.3830000e+01
   1.1366000e+02   2.3800000e+01
   1.1389000e+02   2.3780000e+01
   1.1412000e+02   2.3800000e+01
   1.1435000e+02   2.3850000e+01
   1.1458000e+02   2.3840000e+01
   1.1481000e+02   2.3840000e+01
   1.1504000e+02   2.3850000e+01
   1.1527000e+02   2.3860000e+01
   1.1550000e+02   2.3870000e+01
   1.1573000e+02   2.3880000e+01
   1.1596000e+02   2.3880000e+01
   1.1618000e+02   2.3860000e+01
   1.1641000e+02   2.3870000e+01
   1.1664000e+02   2.3890000e+01
   1.1687000e+02   2.3900000e+01
   1.1710000e+02   2.3890000e+01
   1.1733000e+02   2.3890000e+01
   1.1756000e+02   2.3880000e+01
   1.1779000e+02   2.3880000e+01
   1.1802000e+02   2.3890000e+01
   1.1825000e+02   2.3920000e+01
   1.1848000e+02   2.3920000e+01
   1.1871000e+02   2.3880000e+01
   1.1893000e+02   2.3910000e+01
   1.1916000e+02   2.3900000e+01
   1.1939000e+02   2.3910000e+01
   1.1962000e+02   2.3930000e+01
   1.1985000e+02   2.3910000e+01
   1.2008000e+02   2.3910000e+01
   1.2031000e+02   2.3910000e+01
   1.2054000e+02   2.3920000e+01
   1.2077000e+02   2.3910000e+01
   1.2100000e+02   2.3940000e+01
   1.2123000e+02   2.3960000e+01
   1.2146000e+02   2.3960000e+01
   1.2168000e+02   2.3960000e+01
   1.2191000e+02   2.3970000e+01
   1.2214000e+02   2.3960000e+01
   1.2237000e+02   2.3940000e+01
   1.2260000e+02   2.3930000e+01
   1.2283000e+02   2.3950000e+01
   1.2306000e+02   2.3970000e+01
   1.2329000e+02   2.3960000e+01
   1.2352000e+02   2.3960000e+01
   1.2375000e+02   2.3960000e+01
   1.2398000e+02   2.3970000e+01
   1.2421000e+02   2.3980000e+01
   1.2443000e+02   2.4010000e+01
   1.2466000e+02   2.4010000e+01
   1.2489000e+02   2.3980000e+01
   1.2512000e+02   2.3960000e+01
   1.2535000e+02   2.3970000e+01
   1.2558000e+02   2.3980000e+01
   1.2581000e+02   2.3990000e+01
   1.2604000e+02   2.4010000e+01
   1.2627000e+02   2.4010000e+01
   1.2650000e+02   2.4010000e+01
   1.2673000e+02   2.4040000e+01
   1.2696000e+02   2.4010000e+01
   1.2718000e+02   2.4030000e+01
   1.2741000e+02   2.4050000e+01
   1.2764000e+02   2.4030000e+01
   1.2787000e+02   2.4010000e+01
   1.2810000e+02   2.4010000e+01
   1.2833000e+02   2.4030000e+01
   1.2856000e+02   2.4040000e+01
   1.2879000e+02   2.4020000e+01
   1.2902000e+02   2.4060000e+01
   1.2925000e+02   2.4040000e+01
   1.2948000e+02   2.4010000e+01
   1.2971000e+02   2.4030000e+01
   1.2993000e+02   2.4050000e+01
   1.3016000e+02   2.4070000e+01
   1.3039000e+02   2.4040000e+01
   1.3062000e+02   2.4050000e+01
   1.3085000e+02   2.4070000e+01
   1.3108000e+02   2.4080000e+01
   1.3131000e+02   2.4110000e+01
   1.3154000e+02   2.4080000e+01
   1.3177000e+02   2.4070000e+01
   1.3200000e+02   2.4070000e+01
   1.3223000e+02   2.4070000e+01
   1.3246000e+02   2.4070000e+01
   1.3268000e+02   2.4090000e+01
   1.3291000e+02   2.4110000e+01
   1.3314000e+02   2.4110000e+01
   1.3337000e+02   2.4100000e+01
   1.3360000e+02   2.4100000e+01
   1.3383000e+02   2.4110000e+01
   1.3406000e+02   2.4100000e+01
   1.3429000e+02   2.4120000e+01
   1.3452000e+02   2.4120000e+01
   1.3475000e+02   2.4140000e+01
   1.3498000e+02   2.4170000e+01
   1.3521000e+02   2.4160000e+01
   1.3543000e+02   2.4140000e+01
   1.3566000e+02   2.4160000e+01
   1.3589000e+02   2.4140000e+01
   1.3612000e+02   2.4140000e+01
   1.3635000e+02   2.4120000e+01
   1.3658000e+02   2.4140000e+01
   1.3681000e+02   2.4150000e+01
   1.3704000e+02   2.4170000e+01
   1.3727000e+02   2.4160000e+01
   1.3750000e+02   2.4160000e+01
   1.3773000e+02   2.4160000e+01
   1.3796000e+02   2.4150000e+01
   1.3818000e+02   2.4160000e+01
   1.3841000e+02   2.4180000e+01
   1.3864000e+02   2.4180000e+01
   1.3887000e+02   2.4190000e+01
   1.3910000e+02   2.4190000e+01
   1.3933000e+02   2.4190000e+01
   1.3956000e+02   2.4200000e+01
   1.3979000e+02   2.4200000e+01
   1.4002000e+02   2.4200000e+01
   1.4025000e+02   2.4230000e+01
   1.4048000e+02   2.4220000e+01
   1.4070000e+02   2.4210000e+01
   1.4093000e+02   2.4220000e+01
   1.4116000e+02   2.4210000e+01
   1.4139000e+02   2.4210000e+01
