%Borehole RC370 (DTS)
%Measured in 2015 by C.Pickler, J.C.Mareschal, A.Chacon-Oecklers, H. Beltrami, F.Suárez, N. Blin, and M.T.Corte

%Location 27.98083S    70.61667W

   2.0066000e+01   2.1840000e+01
   2.0320000e+01   2.1850000e+01
   2.0574000e+01   2.1870000e+01
   2.0828000e+01   2.1860000e+01
   2.1082000e+01   2.1890000e+01
   2.1336000e+01   2.1850000e+01
   2.1590000e+01   2.1870000e+01
   2.1844000e+01   2.1900000e+01
   2.2098000e+01   2.1920000e+01
   2.2352000e+01   2.1940000e+01
   2.2606000e+01   2.1920000e+01
   2.2860000e+01   2.1890000e+01
   2.3114000e+01   2.1830000e+01
   2.3368000e+01   2.1830000e+01
   2.3622000e+01   2.1900000e+01
   2.3876000e+01   2.1890000e+01
   2.4130000e+01   2.1950000e+01
   2.4384000e+01   2.1910000e+01
   2.4638000e+01   2.1900000e+01
   2.4892000e+01   2.1870000e+01
   2.5146000e+01   2.1890000e+01
   2.5400000e+01   2.1890000e+01
   2.5654000e+01   2.1890000e+01
   2.5908000e+01   2.1870000e+01
   2.6162000e+01   2.1850000e+01
   2.6416000e+01   2.1890000e+01
   2.6670000e+01   2.1880000e+01
   2.6924000e+01   2.1910000e+01
   2.7178000e+01   2.1950000e+01
   2.7432000e+01   2.1900000e+01
   2.7686000e+01   2.1930000e+01
   2.7940000e+01   2.1860000e+01
   2.8194000e+01   2.1880000e+01
   2.8448000e+01   2.1930000e+01
   2.8702000e+01   2.1910000e+01
   2.8956000e+01   2.1900000e+01
   2.9210000e+01   2.1890000e+01
   2.9464000e+01   2.1910000e+01
   2.9718000e+01   2.1880000e+01
   2.9972000e+01   2.1880000e+01
   3.0226000e+01   2.1970000e+01
   3.0480000e+01   2.1910000e+01
   3.0734000e+01   2.1900000e+01
   3.0988000e+01   2.1900000e+01
   3.1242000e+01   2.1930000e+01
   3.1496000e+01   2.1940000e+01
   3.1750000e+01   2.1910000e+01
   3.2004000e+01   2.1910000e+01
   3.2258000e+01   2.1970000e+01
   3.2512000e+01   2.1950000e+01
   3.2766000e+01   2.1950000e+01
   3.3020000e+01   2.1920000e+01
   3.3274000e+01   2.1940000e+01
   3.3528000e+01   2.1930000e+01
   3.3782000e+01   2.1910000e+01
   3.4036000e+01   2.1930000e+01
   3.4290000e+01   2.1930000e+01
   3.4544000e+01   2.1930000e+01
   3.4798000e+01   2.1960000e+01
   3.5052000e+01   2.1940000e+01
   3.5306000e+01   2.1960000e+01
   3.5560000e+01   2.1970000e+01
   3.5814000e+01   2.1960000e+01
   3.6068000e+01   2.1950000e+01
   3.6322000e+01   2.1970000e+01
   3.6576000e+01   2.1940000e+01
   3.6830000e+01   2.1950000e+01
   3.7084000e+01   2.1950000e+01
