Fechas,ala1110-2,1501
1880-12-31,,
1881-12-31,,
1882-12-31,,
1883-12-31,,
1884-12-31,,
1885-12-31,,
1886-12-31,,
1887-12-31,,
1888-12-31,,
1889-12-31,,
1890-12-31,,
1891-12-31,,
1892-12-31,,
1893-12-31,,
1894-12-31,,
1895-12-31,,
1896-12-31,,
1897-12-31,,
1898-12-31,,
1899-12-31,,
1900-12-31,,
1901-12-31,,
1902-12-31,,
1903-12-31,,
1904-12-31,,
1905-12-31,,
1906-12-31,,
1907-12-31,,
1908-12-31,,
1909-12-31,,
1910-12-31,,
1911-12-31,,
1912-12-31,,
1913-12-31,,
1914-12-31,,
1915-12-31,,
1916-12-31,,
1917-12-31,,
1918-12-31,,
1919-12-31,,-0.64124995
1920-12-31,,-1.384
1921-12-31,,-0.16166666
1922-12-31,,-0.98249996
1923-12-31,,-1.1233333
1924-12-31,,
1925-12-31,,
1926-12-31,,
1927-12-31,,0.55
1928-12-31,,
1929-12-31,,-1.3472726
1930-12-31,,-0.594
1931-12-31,,-1.355
1932-12-31,,-0.9183333
1933-12-31,,-0.84916663
1934-12-31,,-1.0033333
1935-12-31,,-0.96666664
1936-12-31,,-0.5391666
1937-12-31,,-0.815
1938-12-31,,-0.90749997
1939-12-31,,-0.24416666
1940-12-31,,-0.61833334
1941-12-31,,-0.6933333
1942-12-31,,-0.9525
1943-12-31,,-0.53249997
1944-12-31,,0.28
1945-12-31,,0.34833333
1946-12-31,,0.0024999913
1947-12-31,,-0.195
1948-12-31,,-0.15749998
1949-12-31,,-0.39666665
1950-12-31,,-0.00916668
1951-12-31,0.5811111,0.5225
1952-12-31,0.6275,0.34083334
1953-12-31,0.2625,0.38333333
1954-12-31,-0.29,0.060833335
1955-12-31,-0.7808333,-0.7183333
1956-12-31,-0.96999997,-0.7891666
1957-12-31,,-0.10833332
1958-12-31,-0.060000002,0.26833332
1959-12-31,-1.0699999,0.075
1960-12-31,0.60499996,0.18583333
1961-12-31,-0.6925,-0.14500001
1962-12-31,0.145,0.06666666
1963-12-31,0.29666665,-0.0033333364
1964-12-31,-0.00333333,-0.1025
1965-12-31,0.49833333,0.23166665
1966-12-31,-0.32999998,-0.18583333
1967-12-31,-0.3083333,-0.19166666
1968-12-31,0.04416667,-0.02166667
1969-12-31,0.29666665,0.62833333
1970-12-31,0.09583333,0.42249998
1971-12-31,-0.34166664,-0.15583333
1972-12-31,0.35333332,0.12
1973-12-31,-0.2875,-0.59999996
1974-12-31,-0.5416666,-0.45083332
1975-12-31,-0.42499998,-0.17833333
1976-12-31,-0.21249999,-0.3225
1977-12-31,0.48166665,0.3475
1978-12-31,0.099166654,0.29666665
1979-12-31,0.09333333,-0.17166667
1980-12-31,0.35666665,0.1525
1981-12-31,-0.015833337,0.22916666
1982-12-31,0.64666665,0.50916666
1983-12-31,0.46249998,-0.060833324
1984-12-31,-0.21249999,-0.41166666
1985-12-31,0.060833327,0.25583333
1986-12-31,0.21166666,0.5491666
1987-12-31,0.4383333,0.28333333
1988-12-31,-0.51916665,0.008333346
1989-12-31,-0.0066666687,0.62666667
1990-12-31,-0.22583333,0.13416666
1991-12-31,0.36166668,0.21416667
1992-12-31,-0.0033333295,-0.32583332
1993-12-31,-0.0525,-0.011666669
1994-12-31,0.2025,0.61499995
1995-12-31,-0.15333334,0.19916667
1996-12-31,-0.16916665,0.24666667
1997-12-31,1.5133333,1.2791666
1998-12-31,0.36499998,0.33416665
1999-12-31,0.029166667,0.014999997
2000-12-31,-0.2325,-0.03916667
2001-12-31,0.28416666,0.47333333
2002-12-31,0.46416667,0.53749996
2003-12-31,0.011666665,0.7858333
2004-12-31,0.49916667,0.6533333
2005-12-31,0.50916666,0.31
2006-12-31,0.78666663,0.98749995
2007-12-31,-0.21333332,-0.13999999
2008-12-31,0.44333333,0.58666664
2009-12-31,0.18749999,0.88416666
2010-12-31,-0.06999999,0.16166666
2011-12-31,0.28583333,0.39
2012-12-31,0.865,1.1516666
2013-12-31,0.59,0.9683333
2014-12-31,0.33083332,0.9858333
2015-12-31,0.7266666,1.055
2016-12-31,1.5883332,0.7133333
2017-12-31,1.1374999,1.2891667
2018-12-31,0.55,0.7916666
2019-12-31,0.6125,0.68333334
2020-12-31,0.8175,1.2025
2021-12-31,0.557,0.939
